里程(公里),路線,總里程,里程,地標名稱,分段第一行,分段第二行,左下角備註,右下角備註
1.9,CM300,500,176,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
2,CM300,500,177,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
2.1,CM300,500,178,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
2.2,CM300,500,179,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
2.3,CM300,500,180,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
2.4,CM300,500,181,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
2.5,CM300,500,182,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
2.6,CM300,500,183,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
2.7,CM300,500,184,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
2.8,CM300,500,185,卡賀爾山岔路,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
2.9,CM300,500,186,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
3,CM300,500,187,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
3.1,CM300,500,188,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
3.2,CM300,500,189,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
3.3,CM300,500,190,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
3.4,CM300,500,191,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
3.5,CM300,500,192,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
3.6,CM300,500,193,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
3.7,CM300,500,194,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
3.8,CM300,500,195,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
3.9,CM300,500,196,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4,CM300,500,197,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4.1,CM300,500,198,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4.2,CM300,500,199,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4.3,CM300,500,200,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4.4,CM300,500,201,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4.5,CM300,500,202,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4.6,CM300,500,203,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4.7,CM300,500,204,,光被八表(157)⇨卡賀爾山岔路(185)➡,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4.8,CM300,500,205,能高山主峰,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4.9,CM300,500,206,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5,CM300,500,207,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5.1,CM300,500,208,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5.2,CM300,500,209,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5.3,CM300,500,210,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5.4,CM300,500,211,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5.5,CM300,500,212,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5.6,CM300,500,213,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5.7,CM300,500,214,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5.8,CM300,500,215,台灣池,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)➡大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5.9,CM300,500,216,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)➡大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6,CM300,500,217,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)➡大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6.1,CM300,500,218,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)➡大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6.2,CM300,500,219,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)➡大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6.3,CM300,500,220,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)➡大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6.4,CM300,500,221,,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)➡大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6.5,CM300,500,222,大陸池,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6.6,CM300,500,223,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6.7,CM300,500,224,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6.8,CM300,500,225,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6.9,CM300,500,226,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
7,CM300,500,227,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
7.1,CM300,500,228,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
7.2,CM300,500,229,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
7.3,CM300,500,230,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
7.4,CM300,500,231,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
7.5,CM300,500,232,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
7.6,CM300,500,233,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
7.7,CM300,500,234,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
7.8,CM300,500,235,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
7.9,CM300,500,236,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
8,CM300,500,237,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
8.1,CM300,500,238,3246峰,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
8.2,CM300,500,239,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
8.3,CM300,500,240,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
8.4,CM300,500,241,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
8.5,CM300,500,242,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
8.6,CM300,500,243,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
8.7,CM300,500,244,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
8.8,CM300,500,245,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
8.9,CM300,500,246,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9,CM300,500,247,,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9.1,CM300,500,248,能高山南峰,大陸池(222)⇨能高山南峰(248),➡南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9.2,CM300,500,249,,大陸池(222)⇨能高山南峰(248),➡南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9.3,CM300,500,250,,大陸池(222)⇨能高山南峰(248),➡南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9.4,CM300,500,251,,大陸池(222)⇨能高山南峰(248),➡南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9.5,CM300,500,252,,大陸池(222)⇨能高山南峰(248),➡南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9.6,CM300,500,253,,大陸池(222)⇨能高山南峰(248),➡南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9.7,CM300,500,254,,大陸池(222)⇨能高山南峰(248),➡南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9.8,CM300,500,255,,大陸池(222)⇨能高山南峰(248),➡南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9.9,CM300,500,256,,大陸池(222)⇨能高山南峰(248),➡南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
10,CM300,500,257,南峰南鞍營地,南峰南鞍營地(257)➡3159峰(266),⇨3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
10.1,CM300,500,258,,南峰南鞍營地(257)➡3159峰(266),⇨3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
10.2,CM300,500,259,,南峰南鞍營地(257)➡3159峰(266),⇨3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
10.3,CM300,500,260,,南峰南鞍營地(257)➡3159峰(266),⇨3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
10.4,CM300,500,261,,南峰南鞍營地(257)➡3159峰(266),⇨3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
10.5,CM300,500,262,,南峰南鞍營地(257)➡3159峰(266),⇨3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
10.6,CM300,500,263,,南峰南鞍營地(257)➡3159峰(266),⇨3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
10.7,CM300,500,264,,南峰南鞍營地(257)➡3159峰(266),⇨3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
10.8,CM300,500,265,,南峰南鞍營地(257)➡3159峰(266),⇨3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
10.9,CM300,500,266,3159峰,南峰南鞍營地(257)⇨3159峰(266),➡3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
11,CM300,500,267,,南峰南鞍營地(257)⇨3159峰(266),➡3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
11.1,CM300,500,268,,南峰南鞍營地(257)⇨3159峰(266),➡3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
11.2,CM300,500,269,,南峰南鞍營地(257)⇨3159峰(266),➡3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
11.3,CM300,500,270,,南峰南鞍營地(257)⇨3159峰(266),➡3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
11.4,CM300,500,271,,南峰南鞍營地(257)⇨3159峰(266),➡3159峰南鞍營地(272),林務局、中華民國山岳協會合製,請珍惜國家公共資源
11.5,CM300,500,272,3159峰南鞍營地,3159峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
11.6,CM300,500,273,,3160峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
11.7,CM300,500,274,,3161峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
11.8,CM300,500,275,,3162峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
11.9,CM300,500,276,,3163峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12,CM300,500,277,,3164峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12.1,CM300,500,278,,3165峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12.2,CM300,500,279,,3166峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12.3,CM300,500,280,,3167峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12.4,CM300,500,281,,3168峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12.5,CM300,500,282,,3169峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12.6,CM300,500,283,牡丹池岔路,3170峰南鞍營地(272)➡光頭山(284),⇨白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12.7,CM300,500,284,光頭山,3171峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12.8,CM300,500,285,,3172峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12.9,CM300,500,286,,3173峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
13,CM300,500,287,,3174峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
13.1,CM300,500,288,,3175峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
13.2,CM300,500,289,,3176峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
13.3,CM300,500,290,,3177峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
13.4,CM300,500,291,,3178峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
13.5,CM300,500,292,,3179峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
13.6,CM300,500,293,,3180峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
13.7,CM300,500,294,,3181峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
13.8,CM300,500,295,,3182峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
13.9,CM300,500,296,,3183峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14,CM300,500,297,,3184峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.1,CM300,500,298,,3185峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.2,CM300,500,299,白石池,3185峰南鞍營地(272)⇨光頭山(284),⇨白石池(299)➡白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.3,CM300,500,300,,3186峰南鞍營地(272)⇨光頭山(284),⇨白石池(299)➡白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.4,CM300,500,301,,3187峰南鞍營地(272)⇨光頭山(284),⇨白石池(299)➡白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.5,CM300,500,302,,3188峰南鞍營地(272)⇨光頭山(284),⇨白石池(299)➡白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.6,CM300,500,303,,3189峰南鞍營地(272)⇨光頭山(284),⇨白石池(299)➡白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.7,CM300,500,304,,3190峰南鞍營地(272)⇨光頭山(284),⇨白石池(299)➡白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.8,CM300,500,305,白石妹池,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.9,CM300,500,306,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
15,CM300,500,307,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
15.1,CM300,500,308,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
15.2,CM300,500,309,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
15.3,CM300,500,310,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
15.4,CM300,500,311,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
15.5,CM300,500,312,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
15.6,CM300,500,313,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
15.7,CM300,500,314,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
15.8,CM300,500,315,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
15.9,CM300,500,316,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
16,CM300,500,317,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
16.1,CM300,500,318,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
16.2,CM300,500,319,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
16.3,CM300,500,320,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
