里程(公里),里程,地標名稱,分段第一行,分段第二行
5.2,52,,司晏池營地(48)⇨司晏池(49)➡,白姑大山中峰(57)⇨吉他營地(65)
5.3,53,,司晏池營地(48)⇨司晏池(49)➡,白姑大山中峰(57)⇨吉他營地(65)
5.4,54,,司晏池營地(48)⇨司晏池(49)➡,白姑大山中峰(57)⇨吉他營地(65)
5.5,55,,司晏池營地(48)⇨司晏池(49)➡,白姑大山中峰(57)⇨吉他營地(65)
5.6,56,,司晏池營地(48)⇨司晏池(49)➡,白姑大山中峰(57)⇨吉他營地(65)
5.7,57,白姑大山中峰,司晏池營地(48)⇨司晏池(49)⇨,白姑大山中峰(57)➡吉他營地(65)
5.8,58,,司晏池營地(48)⇨司晏池(49)⇨,白姑大山中峰(57)➡吉他營地(65)
5.9,59,,司晏池營地(48)⇨司晏池(49)⇨,白姑大山中峰(57)➡吉他營地(65)
6.0,60,,司晏池營地(48)⇨司晏池(49)⇨,白姑大山中峰(57)➡吉他營地(65)
6.1,61,,司晏池營地(48)⇨司晏池(49)⇨,白姑大山中峰(57)➡吉他營地(65)
6.2,62,,司晏池營地(48)⇨司晏池(49)⇨,白姑大山中峰(57)➡吉他營地(65)
6.3,63,,司晏池營地(48)⇨司晏池(49)⇨,白姑大山中峰(57)➡吉他營地(65)
6.4,64,,司晏池營地(48)⇨司晏池(49)⇨,白姑大山中峰(57)➡吉他營地(65)
6.5,65,吉他營地,吉他營地(65)➡一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
6.6,66,,吉他營地(65)➡一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
6.7,67,,吉他營地(65)➡一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
6.8,68,,吉他營地(65)➡一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
6.9,69,,吉他營地(65)➡一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
7.0,70,,吉他營地(65)➡一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
7.1,71,,吉他營地(65)➡一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
7.2,72,,吉他營地(65)➡一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
7.3,73,一線天,吉他營地(65)⇨一線天(73)➡草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
7.4,74,,吉他營地(65)⇨一線天(73)➡草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
7.5,75,,吉他營地(65)⇨一線天(73)➡草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
7.6,76,,吉他營地(65)⇨一線天(73)➡草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
7.7,77,,吉他營地(65)⇨一線天(73)➡草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
7.8,78,,吉他營地(65)⇨一線天(73)➡草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
7.9,79,,吉他營地(65)⇨一線天(73)➡草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
8.0,80,,吉他營地(65)⇨一線天(73)➡草青池(81),⇨傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
8.1,81,草青池,吉他營地(65)⇨一線天(73)⇨草青池(81),➡傳統路岔(82)⇨石瀑(83)⇨白姑大山(86)
8.2,82,傳統路岔,吉他營地(65)⇨一線天(73)⇨草青池(81),⇨傳統路岔(82)➡石瀑(83)⇨白姑大山(86)
8.3,83,石瀑,吉他營地(65)⇨一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)➡白姑大山(86)
8.4,84,,吉他營地(65)⇨一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)➡白姑大山(86)
8.5,85,,吉他營地(65)⇨一線天(73)⇨草青池(81),⇨傳統路岔(82)⇨石瀑(83)➡白姑大山(86)
8.6,86,白姑大山,,
8.5,85,,白姑大山(86)➡石瀑(83)⇨傳統路岔(82),⇨草青池(81)⇨一線天(73)⇨吉他營地(65)
8.4,84,,白姑大山(86)➡石瀑(83)⇨傳統路岔(82),⇨草青池(81)⇨一線天(73)⇨吉他營地(65)
8.3,83,石瀑,白姑大山(86)⇨石瀑(83)➡傳統路岔(82),⇨草青池(81)⇨一線天(73)⇨吉他營地(65)
8.2,82,傳統路岔,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),➡草青池(81)⇨一線天(73)⇨吉他營地(65)
8.1,81,草青池,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)➡一線天(73)⇨吉他營地(65)
8.0,80,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)➡一線天(73)⇨吉他營地(65)
7.9,79,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)➡一線天(73)⇨吉他營地(65)
7.8,78,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)➡一線天(73)⇨吉他營地(65)
7.7,77,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)➡一線天(73)⇨吉他營地(65)
7.6,76,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)➡一線天(73)⇨吉他營地(65)
7.5,75,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)➡一線天(73)⇨吉他營地(65)
7.4,74,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)➡一線天(73)⇨吉他營地(65)
7.3,73,一線天,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)⇨一線天(73)➡吉他營地(65)
7.2,72,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)⇨一線天(73)➡吉他營地(65)
7.1,71,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)⇨一線天(73)➡吉他營地(65)
7.0,70,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)⇨一線天(73)➡吉他營地(65)
6.9,69,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)⇨一線天(73)➡吉他營地(65)
6.8,68,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)⇨一線天(73)➡吉他營地(65)
6.7,67,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)⇨一線天(73)➡吉他營地(65)
6.6,66,,白姑大山(86)⇨石瀑(83)⇨傳統路岔(82),⇨草青池(81)⇨一線天(73)➡吉他營地(65)
6.5,65,吉他營地,吉他營地(65)➡白姑大山中峰(57)⇨,司晏池(49)⇨司晏池營地(48)
6.4,64,,吉他營地(65)➡白姑大山中峰(57)⇨,司晏池(49)⇨司晏池營地(48)
6.3,63,,吉他營地(65)➡白姑大山中峰(57)⇨,司晏池(49)⇨司晏池營地(48)
6.2,62,,吉他營地(65)➡白姑大山中峰(57)⇨,司晏池(49)⇨司晏池營地(48)
6.1,61,,吉他營地(65)➡白姑大山中峰(57)⇨,司晏池(49)⇨司晏池營地(48)
6.0,60,,吉他營地(65)➡白姑大山中峰(57)⇨,司晏池(49)⇨司晏池營地(48)
5.9,59,,吉他營地(65)➡白姑大山中峰(57)⇨,司晏池(49)⇨司晏池營地(48)
5.8,58,,吉他營地(65)➡白姑大山中峰(57)⇨,司晏池(49)⇨司晏池營地(48)
5.7,57,白姑大山中峰,吉他營地(65)⇨白姑大山中峰(57)➡,司晏池(49)⇨司晏池營地(48)
5.6,56,,吉他營地(65)⇨白姑大山中峰(57)➡,司晏池(49)⇨司晏池營地(48)
5.5,55,,吉他營地(65)⇨白姑大山中峰(57)➡,司晏池(49)⇨司晏池營地(48)
5.4,54,,吉他營地(65)⇨白姑大山中峰(57)➡,司晏池(49)⇨司晏池營地(48)
5.3,53,,吉他營地(65)⇨白姑大山中峰(57)➡,司晏池(49)⇨司晏池營地(48)
5.2,52,,吉他營地(65)⇨白姑大山中峰(57)➡,司晏池(49)⇨司晏池營地(48)
5.1,51,,吉他營地(65)⇨白姑大山中峰(57)➡,司晏池(49)⇨司晏池營地(48)
5.0,50,,吉他營地(65)⇨白姑大山中峰(57)➡,司晏池(49)⇨司晏池營地(48)
4.9,49,司晏池,吉他營地(65)⇨白姑大山中峰(57)⇨,司晏池(49)➡司晏池營地(48)
4.8,48,司晏池營地,司晏池營地(48)➡草坡營地(46)⇨,松林營地(43)⇨松針營地(41)⇨沼澤營地(32)
4.7,47,,司晏池營地(48)➡草坡營地(46)⇨,松林營地(43)⇨松針營地(41)⇨沼澤營地(32)
4.6,46,草坡營地,司晏池營地(48)⇨草坡營地(46)➡,松林營地(43)⇨松針營地(41)⇨沼澤營地(32)
4.5,45,,司晏池營地(48)⇨草坡營地(46)➡,松林營地(43)⇨松針營地(41)⇨沼澤營地(32)
4.4,44,,司晏池營地(48)⇨草坡營地(46)➡,松林營地(43)⇨松針營地(41)⇨沼澤營地(32)
4.3,43,松林營地,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)➡松針營地(41)⇨沼澤營地(32)
4.2,42,,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)➡松針營地(41)⇨沼澤營地(32)
4.1,41,松針營地,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)⇨松針營地(41)➡沼澤營地(32)
4.0,40,,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)⇨松針營地(41)➡沼澤營地(32)
3.9,39,,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)⇨松針營地(41)➡沼澤營地(32)
3.8,38,,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)⇨松針營地(41)➡沼澤營地(32)
3.7,37,,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)⇨松針營地(41)➡沼澤營地(32)
3.6,36,,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)⇨松針營地(41)➡沼澤營地(32)
3.5,35,,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)⇨松針營地(41)➡沼澤營地(32)
3.4,34,,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)⇨松針營地(41)➡沼澤營地(32)
3.3,33,,司晏池營地(48)⇨草坡營地(46)⇨,松林營地(43)⇨松針營地(41)➡沼澤營地(32)
3.2,32,沼澤營地,沼澤營地(32)➡三錐山(29)⇨,產業道路終點(07)⇨登山口(00)
3.1,31,,沼澤營地(32)➡三錐山(29)⇨,產業道路終點(07)⇨登山口(00)
3.0,30,,沼澤營地(32)➡三錐山(29)⇨,產業道路終點(07)⇨登山口(00)
2.9,29,三錐山,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
2.8,28,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
2.7,27,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
2.6,26,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
2.5,25,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
2.4,24,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
2.3,23,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
2.2,22,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
2.1,21,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
2.0,20,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
1.9,19,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
1.8,18,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
1.7,17,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
1.6,16,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
1.5,15,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
1.4,14,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
1.3,13,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
1.2,12,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
1.1,11,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
1.0,10,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
0.9,09,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
0.8,08,,沼澤營地(32)⇨三錐山(29)➡,產業道路終點(07)⇨登山口(00)
0.7,07,產業道路終點,沼澤營地(32)⇨三錐山(29)⇨,產業道路終點(07)➡登山口(00)
0.6,06,,沼澤營地(32)⇨三錐山(29)⇨,產業道路終點(07)➡登山口(00)
0.5,05,,沼澤營地(32)⇨三錐山(29)⇨,產業道路終點(07)➡登山口(00)
0.4,04,,沼澤營地(32)⇨三錐山(29)⇨,產業道路終點(07)➡登山口(00)
0.3,03,,沼澤營地(32)⇨三錐山(29)⇨,產業道路終點(07)➡登山口(00)
0.2,02,,沼澤營地(32)⇨三錐山(29)⇨,產業道路終點(07)➡登山口(00)
0.1,01,,沼澤營地(32)⇨三錐山(29)⇨,產業道路終點(07)➡登山口(00)
0.0,00,登山口,,
